sku;arima_order;sarima_order;sarima_seasonal_order;sarima_PDQ_todos_zeros;aic_arima;aic_sarima;previsoes_arima_sarima_identicas;max_abs_diff_previsao_arima_sarima;rmse_entre_vetores_previsao_arima_sarima;teste_constante;cv_teste;range_teste
2852;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;999.4106213061696;999.4106213061696;True;0.0;0.0;True;0.0;0.0
MK403;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;134.7282088154228;134.7282088154228;True;0.0;0.0;True;0.0;0.0
3330;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2707.022908898012;2707.022908898012;True;0.0;0.0;False;4.997245138178075;3.0
MK428;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;533.1284805094667;533.1284805094667;True;0.0;0.0;True;0.0;0.0
MK407;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;808.3755704846985;808.3755704846985;True;0.0;0.0;True;0.0;0.0
MK419;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2800.6787879844514;2800.6787879844514;True;0.0;0.0;True;0.0;0.0
790689;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;801.9888091982357;801.9888091982357;True;0.0;0.0;True;0.0;0.0
792470;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1394.1906584955332;1394.1906584955332;True;0.0;0.0;False;40.24474870525945;3.0
2862;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;795.5157377173894;795.5157377173894;True;0.0;0.0;True;0.0;0.0
MK282;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;788.9539912698456;788.9539912698456;True;0.0;0.0;True;0.0;0.0
MK406;(0, 1, 0);(0, 1, 0);(0, 0, 1, 30);False;206.713384071826;199.676355967934;False;8.665756122194779e-05;7.587682504714313e-05;False;5.893396084802735;1.0
MK438;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-266.8314732789231;-266.8314732789231;True;0.0;0.0;True;0.0;0.0
791650;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;147.50229916698626;147.50229916698626;True;0.0;0.0;True;0.0;0.0
791661;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;817.7988252064622;817.7988252064622;True;0.0;0.0;False;12.713690692890193;1.0
2203;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;615.7412562182984;615.7412562182984;True;0.0;0.0;True;0.0;0.0
2202;(1, 0, 0);(1, 0, 0);(0, 0, 0, 30);True;3703.9770196234654;3703.9770196234654;True;0.0;0.0;False;18.79560039525575;54.0
10838;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2102.7744695082874;2102.7744695082874;True;0.0;0.0;False;16.842945174643425;5.0
MK409;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1120.9714907579512;1120.9714907579512;True;0.0;0.0;True;0.0;0.0
MK381;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3193.4109442931626;3193.4109442931626;True;0.0;0.0;False;3.470951341343933;7.0
792451;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1114.31860603299;1114.31860603299;True;0.0;0.0;True;0.0;0.0
2904;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;147.50229916698626;147.50229916698626;True;0.0;0.0;True;0.0;0.0
MK383;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1109.267592621391;1109.267592621391;True;0.0;0.0;True;0.0;0.0
MK435;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;798.7632077833814;798.7632077833814;True;0.0;0.0;True;0.0;0.0
2199;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;610.9750477396783;610.9750477396783;True;0.0;0.0;True;0.0;0.0
792474;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-53.05995120616123;-53.05995120616123;True;0.0;0.0;True;0.0;0.0
792429;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;121.60410018041836;121.60410018041836;True;0.0;0.0;True;0.0;0.0
7719;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
10798;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;121.60410018041836;121.60410018041836;True;0.0;0.0;True;0.0;0.0
